Tweets,Output,,,
"RT @pandharichitra: 🌸 आनंददायी #धर्मशिक्षण 🌸
#ThankfulTuesday
#TuesdayMotivations

♦️ समुद्रउड्डाण, लंकादहन, द्रोणागिरी आणणे या घटना कोणा…",0,,,
"RT @pandharichitra: 🌸 आनंददायी #धर्मशिक्षण 🌸
#MondayMotivation

♦️ श्री गणेश .......... असल्याने सर्व शुभकार्य आणि विधींच्या आरंभी श्री गणे…",0,,,
"RT @OfficeOfPPM: ब्रह्मांड प्रवक्ते खासदार संजय राऊत यांनी आज स्वयंघोषित शेतकरी नेते राकेश टिकैत यांची भेट घेतली.
मराठा सरदारांची मानाची पग…",0,,,
"RT @Mulpurush_: कोकण म्हणजे नक्की काय 👇🏻

कोकण म्हणजे कौलारू घर, स्वच्छ अंगण, तुळस व तिला आधार देणारा दिवा 'कोकण' म्हणजे गोठा, साठवून ठेवले…",0,,,
RT @mrhasanmushrif: आजरा तालुक्यातील केडीसीसी ठरावधारकांनी वादळात दिवा लावला. केडीसीसी बँकेच्या संचालकपदी निवडून आल्याबद्दल सुधीर देसाई यां…,0,,,
RT @Mansh51712190: संघ साधना राष्ट्र आराधना चंद्रशेखर आजाद नगर भाबरा जिला अलीराजपुर #संघ_दीपक_हैं https://t.co/VSz0wqqqCX,0,,,
"RT @Manpavrutta: मनपावृत्त, अंकातील मुख्यपृष्ठावरील दिवा प्रभाग समिती मधील शिळगाव सर्व्हे नं २०१,हिस्सा नं ४ मधील जागेची फोड वाटणी नसतानाही…",0,,,
"RT @ManmadIndorRail: @nitin_gadkari @narendramodi @BJP4India साहेब!
इतक्याच तळमळतेने आणि आत्मियतेने, समस्त उत्तर महाराष्ट्राला प्रिय असले…",0,,,
RT @lagadpatil_007: तोंडापुढे कोणी ओळखीचा भेटला तर हुंकार देऊन मानेनें आज्ञा दाखवूं लागले. अंगावर ब्रह्मांड कोसळलें. परंतु हिंमत हरली नाहीं…,0,,,
RT @ketanPa09413137: बाळकुम गावातील जलपरी म्हणुन ओळखली जाणारी कु.सई पाटील हिने 30कि. अंतर सायकल ने पार करत सिडको या आंदोलनाच्या ठिकाणी जाऊन…,0,,,
RT @Info_Thane1: मुंबईकडून कापूरबावडी जंक्शन मार्गे घोडबंदर रोडवर जाणारे सर्व वाहनांना माजीवाडा गोल्डन डाईज ब्रिजवर वाय जंक्शन येथे प्रवेश…,0,,,
RT @Iamshreya1904: भाजपच्या 12 आमदारांचे निलंबन हे फक्त आमदारांच्या हक्काचे उल्लंघन नसून त्यांच्या मतदारसंघाचे हक्क हिरावून घेण्यासारखे आहे…,0,,,
RT @ganesh_masak: @Central_Railway @drmmumbaicr @GM_CRly @srdommumbaicr @srdcmmumbaicr @RailwaySeva गाडी न ५०१०३/०४ दिवा-रत्नागिरी या गाडी…,0,,,
"RT @BlackPearlAkki: *नवी मुंबई येथे होणार्या विमानतळाला*
*लोकनेते दि.बा.पाटील साहेब यांचे नाव देण्यात यावे. 
*या आंदोलना समर्थनात साकारलेली…",0,,,
RT @BhaindarMira: दिनांक १२ जानेवारी २०२२ रोजी मा. महापौर श्रीमती ज्योत्स्ना हसनाळे यांनी महानगरपालिका आयुक्त श्री. दिलीप ढोले यांच्या समवे…,0,,,
RT @Awhadspeaks: 2 दिवसांपूर्वी कळवा पूर्व पश्चिमेला जोडणा-या R.O.B चे उद्घाटन पार पडले.यानंतर खारीगांव रेल्वे फाटक बंद करण्यात येणार आहे.…,0,,,
"RT @AparnaNaik10: #mondaythoughts
#ShivajiMaharaj
छत्रपती शिवाजी महाराजांनी हिंदवी स्वराज्य स्थापनेची शपथ कोणत्या मंदिरात घेतली ?

🙏 उत्तर…",0,,,
"RT @AnilShinde5678: #बीड चं नेतृत्व सक्षमपणे कोण करू शकेल ?

मतदान श्रेष्ठ दान
आपल्या प्रतिक्रिया कळवा.",0,,,
"40 हजार ठाणेकरांना पोटभर पाणी

घोडबंदर रोड, वाघबीळ येथील प्रेस्टीज रेसिडन्सी येथे नव्याने उभारलेल्या संप-पंप हाऊस व जलकुभांचा लोकार्पण सोहळा महापौर नरेश म्हस्के यांच्या हस्ते मंगळवारी पार पडला

सविस्तर बातमी वाचण्यासाठी खाली दिलेल्या लिंक वर क्लिक करा.
https://t.co/Q0TzU2T8xG",0,,,
"#राजमाता #राष्ट्रमाता #जिजाऊ माँसाहेब
#युगपुरुष स्वामी #विवेकानंद यांचा जयंती निमित्त विनम्र अभिवादन.💐💐💐💐
                    दिलीप भाऊ यादव
राष्ट्रवादी काँग्रेस पक्ष ठाणे जिल्हा घोडबंदर रोड ठाणे https://t.co/tJWp9ht7g6",0,,,
"#माहितीसाठी 👉 विहंग गार्डनचे (घोडबंदर रोड, ठाणे) विकासक हे शिवसेना आमदार प्रताप सरनाईंक आहेत ! https://t.co/h7bTQSURol",0,,,
"#घोडबंदर_रोड, #उपवन इंडस्ट्रीज येथे श्री #सुभाष_गुप्ता यांच्या देबुरींग इंडिया प्रायव्हेट लिमिटेड यांच्या कार्यालयात श्री गणेश पूजना निमित्त उपस्थित राहून मनोभावे दर्शन केले तसेच सुभाष गुप्ता व त्यांच्या सहकाऱ्यांना नवीन व्यवसायासाठी शुभेच्छा दिल्या...
 #Thane #GhodbunderRoad https://t.co/8eMj3lRtKb",0,,,
@TV9Marathi हिरवा दिवा लावणार पण दिवा ची ज्योत आणि प्रकाश भगवा असतो,0,,,
"@SSSTShirdi 🙏🌹 🕉 साई राम 🌹🙏
🌺🍂☀ अनंत कोटी ब्रह्मांड नायक राजाधिराज योगीराज परब्रह्म सच्चिदानंद समर्थ सद्गुरु श्री साईनाथ महाराज की जय ☀🍂🌺",0,,,
"@Sonalimumbai1 ब्रह्मांड प्रवक्ते ची लागण लागली
काका पूतणया ची वाट लागली",0,,,
@ShubhamBhalgat8 @RRPSpeaks तुमचा स्वयम् घोषि चाणक्यला विचार कसा दिवा वि झवला,0,,,
@sekhrik10 आपली तक्रार वरिष्ठ पोलीस निरीक्षक कापूरबावडी पोलीस ठाणे यांना आवश्यक कारवाईसाठी कळवली आहे.,0,,,
"@sarita25148177 
     हर हर महादेव
            जय श्री राम 🙏
    ॐ त्रिनेत्रधारी त्रिकालदर्शी ब्रह्मांड वासी नमोस्तुते
          #सुप्रभात 🌹🙏 https://t.co/2SqdsxwPp0",0,,,
@SanjeevDeshmu14 ...आणि रिकामी झाल्यावर तिचा 'दिवा' व्हायचा!,0,,,
@RRPSpeaks इथ ह्यांचा महाराष्ट्रात दिवा लागाना आणि उत्तरप्रदेश च्या गप्पा मारताहेत  🤣🤣,0,,,
@rautsanjay61 अरे बाबा राऊत तु ब्रह्मांड ज्ञानी आहे तुझं आणि पवार ची चान्यक्य नीती वापर लढ निवडणूक तु मोठा ज्ञानी आहे,0,,,
"@prashantdalvi01 घोडबंदर किल्ल्याचा जीर्णोद्धार हाती घेतल्याबद्दल आपण सर्वांचे आभारी आहोत 🙏🙏🙏🙏

जय भवानी 🚩🚩🚩
जय शिवाजी 🚩🚩🚩

#MiraBhayander
#GhodbunderFort",0,,,
@mpsc_office मोहोदय क्रूपया तांत्रीक सेवा पूर्व परिक्षे बद्दल माहीती कळवा ..!! अर्धा जानेवरी उलटुन गेलाय .!!! @mpsc_office @MeshramDayanand @,0,,,
@Marathi_Rash सापडला तो चोर. असे कित्येक दवाखाने आहेत आणि वंशाला दिवा पाहिजे किंवा मुलगी झाली तर आपल्या पोरीला सासुरवास होईल या भीतीने अनेक लोकांची पाऊले पडतात तिकडे.,0,,,
"@imeenakedar @cbawankule धन्यवाद ताई
ठाण्या मध्ये आल्या बद्दल चांगल मार्गदर्शन लाभलं
शेखर पाटील
मंडल अध्यक्ष कासारवडवली ठाणे घोडबंदर विभाग",0,,,
"@Forest @MahaForest @TMCaTweetAway @ThaneCityPolice
@Parsikpravasi @rohitjoshi77
वनविभागाच्या जागेत घोलाई मंदिराच्या बाजूला, घोलाईनगर, कळवा पूर्व https://t.co/qGsRck3l7N",0,,,
"@drmmumbaicr आई मुंब्रादेवी डोंगर आणि मुंब्रा रेतीबंदर खाडी.... ठाणे - दिवा मार्ग नक्कीच आहे पण या ठिकाणाची खरी ओळख नक्कीच सांगा ""मुंब्रा""",0,,,
@drmbct @drmmumbaicr @OfficeofUT रत्नागिरी दिवा एक्सप्रेस गाडीचे तिकीट माणगाव टू दिवा क्रिकेट प्राईज आहे सत्तर रुपये व गाडी पॅसेंजर टाईप मध्ये चालू होत आहेत https://t.co/sWwd71n0QI,0,,,
"@ChitraKWagh बारामती मध्ये जाऊन जो दिवा लावला तोच खानापूर मध्ये लावलास...
असच माझं नाव मोठं कर 😂😂 https://t.co/vt1Nluksp8",0,,,
@ChitraKWagh #अमर_अकबर_अँथोनी सदैव दुसऱ्या क्रमांकावर यावे आणि तुमचा #भारतीय_जुमला_पक्ष नेहमी पहिल्या नंबरचा #दिवा लावायला तयार रहावा हिच सदिच्छा !!! #MVA,0,,,
"@ChitraKWagh @BJP4PuneCity पुणे बीजेपी च यामधे योगदान काय? तो राहतो Pimpri-Chinchwad मधे, जिथून kidnap झाला ते Pimpri-Chinchwad, जिथे सापडला ते pcmc.. पुणे बीजेपी ने यात काय दिवा लावला चित्तरंजन ताई 😂🤣",0,,,
"@BhatkhalkarA हे तर अमरसिंह चा ही पुढे गेलं हो ?!☺️
बरं झालं अखंड ब्रह्मांड नायक १००८ श्री श्री श्री इति 
नाय सांगितलं !?😊",0,,,
"@ashish_jadhao काळजी घ्या ;काही मदत लागल्यास निश्चित कळवा ; Take care;, get well soon ;",0,,,
"@aparnabisht7 कोणाला ते लॅपटॉप द्यायचे आहेत किंवा मुलाला दान करायचे आहेत, इथे मुलाला त्याच्या अभ्यासासाठी एक हवा आहे, जर तुम्हाला मदत करायची असेल तर मला DM मध्ये कळवा.",0,,,
"!! शुभ सकाळ !!
अनंत कोटी ब्रह्मांड नायक
राजाधिराज योगिराज
साक्षात् परब्रह्म
श्री सच्चिदानंद
सदगुरु साईनाथ
महाराज की जय..!
!! ॐ साई राम !!
#Twitter #navimumbai #saibaba #shirdi https://t.co/l4LoJU8kmJ",0,,,
"वीर - रोहा - दिवा दुहेरीकरणाचा फायदा देऊन @Central_Railway @drmmumbaicr ने ही गाडी पुन्हा दादरपर्यंत चालवावी.
@KonkanRailway ने वेळापत्रकात आणि आपल्या मानसिकतेत बदल केल्यास हे शक्य आहे. https://t.co/F4gAZmpYxT",1,,,
"वाचाळवीर नाना पटोलेनी पंतप्रधान नरेंद्र मोदी यांच्यावर केलेले वादग्रस्त वक्तव्य व त्यातून लोकांना उकसवण्याचा प्रयत्न या विरोधात गुन्हा दाखल करण्यात यावा अशी मागणी काल ठाण्यात नौपाडा, कापूरबावडी, वागळे इस्टेट व वर्तकनगर पोलीस स्टेशन मधे भारतीय जनता युवा मोर्चा तर्फे करण्यात आली. https://t.co/U2z8oNqTxE",1,,,
"येणारी जाणारी वाहने या जंक्शनवरुन जातात. त्यामूळे ईथे कायम वाहतूक कोंडी असते.
उल्हास नदी जिथं समुद्राला मिळते त्या वर्सावे खाडीवर (जिला घोडबंदर खाडी, वसई खाडी पण म्हणतात) दोन लेनचे दोन पुल आहेत. त्यातला एक 50 च्या दशकात आणि दुसरा 2002 ला बांधलेले आहेत. + https://t.co/s8zs4jAbGd",1,,,
"मनपावृत्त, अंकातील मुख्यपृष्ठावरील दिवा प्रभाग समिती मधील शिळगाव सर्व्हे नं २०१,हिस्सा नं ४ मधील जागेची फोड वाटणी नसतानाही क्षेत्र आर झोन असतानाही टोलेजंग इमारतीचे निर्माण.
आयुक्त साहेब उघडा डोळे पहा नीट ! शीर्षकाखालील बातमीच्या अनुषंगाने कारवाई करावी ही विनंती.
१). https://t.co/0SaQV3Trkq",1,,,
बाळ्कुम कशेळी हायवे रस्ता लागत मोठ्या प्रमाणात अनधिकृत हातगाड्या लावुन रस्ता कमी प्रमाणात वापरण्यास मिळत आहे आणी काही हफ्ते वसुलिही केली जाते निदर्शनास आले आहे तरी आपन लवकरात लवकर कारवाई करण्यात यावी @TMCaTweetAway @ThaneCityPolice @ThaneTraffic @ThaneCollector https://t.co/FMkn0KlhCb,1,,,
बाळ्कुम कशेळी हायवे रस्ता लागत मोठ्या प्रमाणात अनधिकृत हातगाड्या लावुन रस्ता कमी प्रमाणात वापरण्यास मिळत आहे आणी काही हफ्ते वसुलिही केली जाते निदर्शनास आले आहे तरी आपन लवकरात लवकर कारवाई करण्यात यावी @TMCaTweetAway @ThaneCityPolice @ThaneTraffic @ThaneCollector https://t.co/2kHw2NeHYi,1,,,
"फेरीवाल्यांसाठी रस्ते आणि फुटपाथ बनवल्याबद्दल धन्यवाद ठाणे महापालिका.
ग्रँड स्क्वेअर सर्कल, आनंद नगर आरोग्य केंद्रा जवळ, कासारवडवली, घोडबंदर रोड
@nareshmhaske @TMCaTweetAway @TMCsmartcity @ImThanekar @PratapSarnaik #SmartCity @CommunityThane https://t.co/htwBBzU0lI",1,,,
"परप्रांतीयांची पुन्हा गुंडगिरी...
मराठी माणसाला मारहाण, 
पोलीसांची कार्यवाही पण कायमस्वरूपी यांना बंदी कधी?
#ठाणे #घोडबंदर https://t.co/RxkCsNbgi5",1,,,
"दुसऱ्या खाडी पुलावर येते. रस्ता रुंद करताना खाडी पुल रुंद केले गेले नाहीत.
सततची वाहतूक कोंडी बघून शेवटी NHAI ने घोडबंदर खाडीवर 4 लेनचा नविन खाडीपुल बांधायचं ठरवलं.
ही जी खाडी आहे तिच्या मुंबईकडच्या किनाऱ्यावरचा भाग हा ठाणे जिल्हा व मिरा भाईंदर महानगरपालिका आणि + https://t.co/i4KrRjEjsb",1,,,
"दिवा प्रभागसमिति अंतर्गत येणाऱ्या शीळ गावामधील खान कम्पाउंड मध्ये होत असलेल्या अवैध बांधकामावर कारवाई चालू होती, त्या कारवाईचे  शुटिंग करत असताना पोलीस महानगर चे महिला पत्रकार आणि कॅमेरामन यांना तेथील भूमाफिया / बिल्डर अकील उर्फ सोनू बिल्डरचा माणूस आमीर आणि वृद्ध सलाम.",1,,,
